created,source,type,class,spec,fightStyle,fightLength,enemyCount,dps,simcHash,itemLevel,talents,soulbind,id
2021-03-30,optimize,optimize,warrior,fury,Patchwerk,300,1,8947,426fffb9d6,255,2113331,"nadjia_the_mistblade:8,331586/11:9/331576/331579/5:9/331584",cc64284d7bb0dac3264c29f4de8282ab7cbed1570b0419654e2a6f39fe7d0e28
2021-03-30,optimize,optimize,warrior,fury,Patchwerk,300,1,8942,426fffb9d6,255,2113331,"nadjia_the_mistblade:8,331586/50:9/331576/9:9/331579/7:9/11:9/331582",2717cf5e388bb5996ef7d63cd3b550b91e6a10ab7beea64f3ab23ebe02780b1f
2021-03-30,optimize,optimize,warrior,fury,Patchwerk,300,1,8698,426fffb9d6,255,2113331,"nadjia_the_mistblade:8,331586/50:9/331576/9:9/331579/7:9/11:9/331582",f13a8191e7bfeff9dee477e6c4b0c4881e70ca9597cb7fa605f20cfa9038c95f
2021-03-30,optimize,optimize,warrior,fury,Patchwerk,300,1,8955,426fffb9d6,255,2113331,"nadjia_the_mistblade:8,331586/50:9/331576/9:9/331579/7:9/11:9/331582",8b129b90d0792e72eb69ec45dafa5203583f94cc1d12c1471d776011ae9826de
2021-03-30,optimize,optimize,warrior,fury,Patchwerk,300,1,8714,426fffb9d6,255,2123333,"niya:1,322721/50:9/342270/9:9/320687/5:9/7:9/320659",6739e1fd1fa28124cc88ec66170a03b253a5bcf13ce458b7691acfffa1f1ec9c
2021-03-30,optimize,optimize,warrior,fury,Patchwerk,300,1,8712,426fffb9d6,255,2123333,"niya:1,322721/50:9/342270/9:9/320687/5:9/7:9/320659",a0232131f5d608ba72ffb01e688d783de7bf4a2cfacaa5024d22df7e35d6d266
2021-03-30,optimize,optimize,warrior,fury,Patchwerk,300,1,8941,426fffb9d6,255,2113331,"nadjia_the_mistblade:8,331586/50:9/331576/9:9/331579/7:9/11:9/331582",349ab2f1c5f7801fd657876b73a119c78fdd97eed6ed86cc63ec0765d00e3aba
2021-03-30,optimize,optimize,warrior,fury,Patchwerk,300,1,8947,426fffb9d6,255,2113331,"nadjia_the_mistblade:8,331586/50:9/331576/9:9/331579/7:9/11:9/331582",17a9bc1b001827fba9db46cad7623b3f2d087b8b2f4344264d3effcb707a81e9
2021-03-30,optimize,optimize,warrior,fury,Patchwerk,300,1,8942,426fffb9d6,255,2113331,"nadjia_the_mistblade:8,331586/50:9/331576/9:9/331579/7:9/11:9/331582",9fd2f7ed7e823983fec0dc6f501284c8d9843321a2b96764d6ca3c3379f1280f
2021-04-20,optimize,optimize,warrior,fury,Patchwerk,300,1,6807,e953155fc3,230,2123331,"niya:1,322721/50:5/342270/8:7/320687/5:7/7:7/320659",c3b8f346c8f66a3b808338d6073ab1f01d9d1c778ebe9f4fab756f9176d3a2d6
